#options: 638x478 fps=100/3 timebase=3/100 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=9 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:84 out:84 type:P dur:2 cpbdur:2 q:39.75 aq:41.82 tex:65527 mv:3977 misc:1240 imb:171 pmb:527 smb:502 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:39.74 aq:40.20 tex:93977 mv:5951 misc:1256 imb:268 pmb:565 smb:367 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:39.74 aq:39.83 tex:78543 mv:5379 misc:1286 imb:273 pmb:549 smb:378 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:39.75 aq:42.63 tex:37564 mv:2612 misc:1176 imb:92 pmb:436 smb:672 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:39.70 aq:41.05 tex:86758 mv:5788 misc:1278 imb:266 pmb:548 smb:386 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:39.74 aq:41.85 tex:64248 mv:4187 misc:1269 imb:184 pmb:533 smb:483 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:39.72 aq:41.90 tex:84114 mv:5447 misc:1255 imb:253 pmb:549 smb:398 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:39.73 aq:42.22 tex:91465 mv:5775 misc:1248 imb:254 pmb:559 smb:387 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:39.75 aq:41.47 tex:75006 mv:5245 misc:1325 imb:243 pmb:591 smb:366 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:39.73 aq:41.67 tex:83916 mv:5460 misc:1272 imb:223 pmb:578 smb:399 d:- ref:0 ;
