#options: 140x140 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:100 out:102 type:b dur:2 cpbdur:2 q:32.22 aq:36.70 tex:1517 mv:507 misc:168 imb:0 pmb:38 smb:43 d:t ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:32.27 aq:35.90 tex:2334 mv:702 misc:172 imb:0 pmb:53 smb:28 d:- ref:0 ;
in:105 out:104 type:P dur:2 cpbdur:2 q:32.13 aq:32.14 tex:10399 mv:761 misc:128 imb:6 pmb:74 smb:1 d:t ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:32.21 aq:36.12 tex:1744 mv:512 misc:168 imb:2 pmb:33 smb:46 d:t ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:32.04 aq:31.96 tex:9486 mv:725 misc:117 imb:2 pmb:79 smb:0 d:t ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:32.00 aq:31.64 tex:7244 mv:560 misc:116 imb:1 pmb:79 smb:1 d:t ref:0 ;
in:110 out:108 type:P dur:2 cpbdur:2 q:32.04 aq:31.77 tex:14407 mv:935 misc:106 imb:10 pmb:71 smb:0 d:t ref:0 ;
in:108 out:109 type:B dur:2 cpbdur:2 q:32.01 aq:34.81 tex:4267 mv:1014 misc:199 imb:0 pmb:64 smb:17 d:t ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:32.03 aq:36.21 tex:1911 mv:816 misc:185 imb:0 pmb:56 smb:25 d:- ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:31.96 aq:31.84 tex:12345 mv:847 misc:120 imb:7 pmb:74 smb:0 d:t ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:32.00 aq:35.47 tex:1705 mv:730 misc:181 imb:1 pmb:51 smb:29 d:t ref:0 ;
